original_text,clean_text,hashtags
#student #college #stupid #identity #theft How not to carry your ID on your back pack. https://t.co/hdfBIMiZ3p,How carry ID back pack,"student, college, stupid, identity, theft"
"RT @PC_Fulford: #Burglary, Below are some tips &amp; ideas to try and help you &amp; your #family not be a #victim of #crime 👮‍♂️.....Small &amp; Simpl…",Below tips amp ideas amp a ‍️ ... ..Small amp Simpl…,"Burglary, family, victim, crime"
"RT @GrouciDjamila: @RepDonBeyer 
Pls #Cosponsor #HConRes71 
Urging all nations to outlaw the #dogandcatmeattrade and to enforce existing la…",Pls Urging nations outlaw enforce existing la…,"Cosponsor, HConRes71, dogandcatmeattrade"
"RT @UKInfidel: #IslamExposed: Soldier of Allah Reveals Genocidal Aspect of Islam in Court: https://t.co/Ucn4ovODpD

#UK #Britain 🇬🇧

#Londo…",Soldier Allah Reveals Genocidal Aspect Islam Court 🇬🇧 …,"IslamExposed, UK, Britain"
"RT @monster_pod: At 9:15PM, October 14, Linda Franklin and her husband were loading their car at their local Home Depot when a shot rang ou…",At 9:15PM October 14 Linda Franklin husband loading car local Home Depot a shot rang ou…,
"RT @PC_Fulford: #Burglary, Below are some tips &amp; ideas to try and help you &amp; your #family not be a #victim of #crime 👮‍♂️.....Small &amp; Simpl…",Below tips amp ideas amp a ‍️ ... ..Small amp Simpl…,"Burglary, family, victim, crime"
RT @RSAsecurity: Beware of #DeepFakes and more digital #fraud in 2020! See why RSA experts believe it could undermine trust in the next dec…,Beware digital 2020 See RSA experts undermine trust dec…,"DeepFakes, fraud"
"RT @GrouciDjamila: @RepDonBeyer 
Pls #Cosponsor #HConRes71 
Urging all nations to outlaw the #dogandcatmeattrade and to enforce existing la…",Pls Urging nations outlaw enforce existing la…,"Cosponsor, HConRes71, dogandcatmeattrade"
"RT @GrouciDjamila: @RepCartwright 
Pls #Cosponsor #HConRes71 
Urging all nations to outlaw the #dogandcatmeattrade and to enforce existing…",Pls Urging nations outlaw enforce existing…,"Cosponsor, HConRes71, dogandcatmeattrade"
"RT @CatmanForever: @YaThinkN The organisation were wrong for falsely promoting, but she never did anything to stop them either, and knew. #…",The organisation wrong falsely promoting stop knew …,
"#Burglary, Below are some tips &amp; ideas to try and help you &amp; your #family not be a #victim of #crime 👮‍♂️.....Small… https://t.co/cqD2CvT57x",Below tips amp ideas amp a ‍️ ... ..Small…,"Burglary, family, victim, crime"
RT @JoyceDeBacco: https://t.co/Ul19cQZ9Ft Looking for #WomensFiction on #KindleUnlimited? Check out Before Love Had a Name. #DomesticAbuse…,Looking Check Before Love Had a Name …,"WomensFiction, KindleUnlimited, DomesticAbuse"
"RT @UKInfidel: #IslamExposed: Soldier of Allah Reveals Genocidal Aspect of Islam in Court: https://t.co/Ucn4ovODpD

#UK #Britain 🇬🇧

#Londo…",Soldier Allah Reveals Genocidal Aspect Islam Court 🇬🇧 …,"IslamExposed, UK, Britain"
"RT @GrouciDjamila: @RepBarragan 
Pls #Cosponsor #HConRes71 
Urging all nations to outlaw the #dogandcatmeattrade and to enforce existing la…",Pls Urging nations outlaw enforce existing la…,"Cosponsor, HConRes71, dogandcatmeattrade"
@freestylekennyg x @stlmixtapeking  we #murdered this #boxremix #thebox #box @roddyricch thanx my dude for the insp… https://t.co/hQTbOUR9eW,x dude insp…,"murdered, boxremix, thebox, box"
Can’t wait to drain a little piggy again #findom #homewrecker #blackmail https://t.co/FmeHBk4p3N,Can ’ t wait drain a piggy,"findom, homewrecker, blackmail"
"#DMV!!! This so called cop #murdered that man!! 

Prince George’s County officer who shot handcuffed man charged wi… https://t.co/kIFTavqvdT",This called cop man Prince George ’ s County officer shot handcuffed man charged wi…,"DMV, murdered"
"RT @C14Goddess: Your religion in one picture, pay them and pray to them.
#findom #goddess #footfetish #feet #blackmail #homewrecker #paypig…",Your religion picture pay pray …,"findom, goddess, footfetish, feet, blackmail, homewrecker, paypig"
"RT @C14Goddess: Who’s next, come here piggies. #findom #goddess #blackmail https://t.co/gWmfufy3Nu",Who ’ s piggies,"findom, goddess, blackmail"
"RT @Lou80377115: #SouthAfrica #PropertyGrabs
#CourtsByPassed #ANCsolePower
#HUMANRIGHTS #ABUSE
SA Gov can now take everything you've worked…",SA Gov 've worked…,"SouthAfrica, PropertyGrabs, CourtsByPassed, ANCsolePower, HUMANRIGHTS, ABUSE"
"RT @C14Goddess: Told this little piggy to show his girlfriend my feet, so he did 🤣 pathetic little bitch😂 #findom #goddess #footfetish #fet…",Told piggy show girlfriend feet 🤣 pathetic bitch …,"findom, goddess, footfetish"
"RT @MThriving: 🚩 Warning signs to never ignore: 🚩

Fast pacing; wanting to see you a LOT early in the #relationship.

While this alone does…",Warning signs ignore Fast pacing wanting a LOT early While does…,relationship
Mosley received life without the possibility for parole because of a plea bargain. Myers received the death penalty… https://t.co/TLpj9IGaM7,Mosley received life possibility parole a plea bargain Myers received death penalty…,
RT @shaistaAziz: Thank you @womensaid for inviting @mon25ja and Sabeena Rana to today’s #domesticabuse #HousingCrisis conference. As a wome…,Thank inviting Sabeena Rana today ’ s conference As a wome…,"domesticabuse, HousingCrisis"
"RT @MThriving: 🚩 Warning signs to never ignore: 🚩

Those pretty/handsome words that are not backed up by ACTION.

Promises.
Stories.

EARLY…",Warning signs ignore Those pretty/handsome words backed ACTION Promises Stories EARLY…,
@Rightor02309039 @John03189414 @RNCResearch @AlanDersh The Clintons have been investigated since 1994 and yet no cr… https://t.co/1bGpIMg860,The Clintons investigated 1994 cr…,
"RT @eithne52: #Fraud - the #BelleGibson of #Psychologists
Fantastic expose of the depths of her fakeness - 
Surely time to strip her of her…",Fantastic expose depths fakeness Surely time strip her…,"Fraud, BelleGibson, Psychologists"
@AppelloChris i have never heard ur #Voice say rapscallions #Fraud,i heard ur rapscallions,"Voice, Fraud"
@SarahKSilverman Alkaline water is a complete #fraud. You can't change your body's PH without killing yourself.,Alkaline water a complete You ca n't change body 's PH killing,fraud
"RT @MThriving: 🚩 Warning signs to never ignore: 🚩

Giddy, over-the-top, seemingly too-good-to-be-true BUTTERFLIES.

Not all butterflies are…",Warning signs ignore Giddy over-the-top seemingly too-good-to-be-true BUTTERFLIES Not butterflies are…,
"RT @RWatson_insight: The Humiliation and Pain a Narcissist can Cause You is Incomprehensible. The Narcissist Stabs the Knife into you, and…",The Humiliation Pain a Narcissist Cause You Incomprehensible The Narcissist Stabs Knife and…,
"RT @GrouciDjamila: @RepLucyMcBath 
Pls #Cosponsor #HConRes71 
Urging all nations to outlaw the #dogandcatmeattrade and to enforce existing…",Pls Urging nations outlaw enforce existing…,"Cosponsor, HConRes71, dogandcatmeattrade"
"RT @UKInfidel: #IslamExposed: Soldier of Allah Reveals Genocidal Aspect of Islam in Court: https://t.co/Ucn4ovODpD

#UK #Britain 🇬🇧

#Londo…",Soldier Allah Reveals Genocidal Aspect Islam Court 🇬🇧 …,"IslamExposed, UK, Britain"
"@YaThinkN The organisation were wrong for falsely promoting, but she never did anything to stop them either, and knew. #fraud",The organisation wrong falsely promoting stop knew,fraud
RT @WendyCartmell: Check out my book - 'Steps to Heaven' a chilling #murder #mystery - on #BookBuzzr - https://t.co/NgA7Xihubr,Check book 'Steps Heaven a chilling,"murder, mystery, BookBuzzr"
"#Encryption
""If you are a fan of spy #thrillers, this should be on your shelf!""
https://t.co/OvNaMAkDuJ  
#murder #suspense #GCHQ",`` If a fan spy shelf '',"Encryption, thrillers, murder, suspense, GCHQ"
Now playing #Molested - #AGladeOfIngrownBlood on Wolf Lair Radio,Now playing Wolf Lair Radio,"Molested, AGladeOfIngrownBlood"
"RT @GrouciDjamila: @RepDonBeyer 
Pls #Cosponsor #HConRes71 
Urging all nations to outlaw the #dogandcatmeattrade and to enforce existing la…",Pls Urging nations outlaw enforce existing la…,"Cosponsor, HConRes71, dogandcatmeattrade"
"RT @MThriving: 🚩 Warning signs to never ignore: 🚩

""This doesn't feel right. Wait... something doesn't make sense here. This isn't what she…",Warning signs ignore `` This n't feel Wait ... n't make sense This n't she…,
RT @NERCP: Breakdown of days of the week for last weeks top 3 reported incident types. 18/01/20 - 24/01/20.  Monday &amp; Thursday were a quiet…,Breakdown days week weeks top 3 reported incident types 18/01/20 24/01/20 Monday amp Thursday a quiet…,
Essential poll: 51% of voters think ⁦@ScottMorrisonMP⁩ should have sacked Bridget McKenzie over sports rorts - but… https://t.co/5V9VkZ4spZ,Essential poll 51 voters ⁦⁩ sacked Bridget McKenzie sports rorts but…,
"RT @iProov: Real-time payments = great for customer convenience, but challenging for banks. 78% of banks in #APAC have seen #fraud losses i…",Real-time payments great customer convenience challenging banks 78 banks losses i…,"APAC, fraud"
RT @NERCP: The following shows @NERCP figures from the last week 18/01/20 - 24/01/20 #PartnershipWorking #nercp @SentrySIS #RetailCrime #Cr…,The shows figures week 18/01/20 24/01/20 …,"PartnershipWorking, nercp, RetailCrime"
RT @GrahamLedger: Tonight: Educating #democrats. The #WhiteHouse defense team deconstructs the #impeachment argument. Also: The #political…,Tonight Educating The defense team deconstructs argument Also The …,"democrats, WhiteHouse, impeachment, political"
"RT @GrouciDjamila: @RepLucyMcBath 
Pls #Cosponsor #HConRes71 
Urging all nations to outlaw the #dogandcatmeattrade and to enforce existing…",Pls Urging nations outlaw enforce existing…,"Cosponsor, HConRes71, dogandcatmeattrade"
RT @smooches266: #Scotland #GroomingGangs enjoying that #Diversity FFS when will the left stop sacrificing children at the alter of #Divers…,enjoying FFS left stop sacrificing children alter …,"Scotland, GroomingGangs, Diversity"
"Do you recognise these men? If so please contact Mark at Shwings - New London Road, Chelmsford. They left his resta… https://t.co/FwmvSAqEzm",Do recognise men If contact Mark Shwings New London Road Chelmsford They left resta…,
RT @Rupertspuppet: We here at the IPA say @thebettinaarndt you are a deadset fraud and your words traumatise victims again. Nothing like bl…,We IPA a deadset fraud words traumatise victims Nothing bl…,
"RT @DrDenaGrayson: 🔥Israeli Prime Minister Benjamin Netanyahu drops his bogus “immunity” claim and is formally charged with #bribery, #frau…",Israeli Prime Minister Benjamin Netanyahu drops bogus “ immunity ” claim formally charged …,bribery
RT @Kimberlykokourt: #Update on #Smalls! #Murdered by the #ManhattanACC on 1-25-2020 for #medical issues! #RIPSmalls! #NYCACC! #RainbowBrid…,1-25-2020 issues …,"Update, Smalls, Murdered, ManhattanACC, medical, RIPSmalls, NYCACC"
#Scotland #GroomingGangs enjoying that #Diversity FFS when will the left stop sacrificing children at the alter of… https://t.co/CBiFjToAKI,enjoying FFS left stop sacrificing children alter of…,"Scotland, GroomingGangs, Diversity"
RT @colingarrow: Coming Soon: ‘Blood on the Tyne: Body Parts’ by Colin Garrow #BloodOnTheTyne #murder #newcastle https://t.co/4XkqyANize,Coming Soon ‘ Blood Tyne Body Parts ’ Colin Garrow,"BloodOnTheTyne, murder, newcastle"
@MaggieDay55 @BernieSanders Don‘t you dare lecture me on #RAPE. Your original tweet mentioned nothing about rape.… https://t.co/ftxvKOWDWo,Don ‘ t dare lecture Your original tweet mentioned rape.…,RAPE
